[2025-07-04 00:37:32] DEBUG: Logging to console and file: logs\debug_20250704_003732.log
[2025-07-04 00:37:34] DEBUG: Set ALL_PROXY=http://127.0.0.1:7890
[2025-07-04 00:37:34] DEBUG: WSSecCandle connecting …
[2025-07-04 00:37:34] DEBUG: WSLive connecting for 1m …
[2025-07-04 00:37:34] DEBUG: WSOrderBook connecting …
[2025-07-04 00:37:36] DEBUG: WSSecCandle subscribed trades
[2025-07-04 00:37:36] DEBUG: WSOrderBook subscribed books5
[2025-07-04 00:37:36] DEBUG: WSLive subscribed candle1m
[2025-07-04 00:37:36] DEBUG: WS1S RAW: {"event":"subscribe","arg":{"channel":"trades","instId":"ETH-USDT"},"connId":"dd51794f"}
[2025-07-04 00:37:36] DEBUG: WS1S RAW: {"arg":{"channel":"trades","instId":"ETH-USDT"},"data":[{"instId":"ETH-USDT","tradeId":"613509648","px":"2573.9","sz":"0.111219","side":"sell","ts":"1751560653570","count":"2"}]}
[2025-07-04 00:37:36] DEBUG: WSOB RAW: {"event":"subscribe","arg":{"channel":"books5","instId":"ETH-USDT"},"connId":"35e41417"}
[2025-07-04 00:37:36] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.87","26.38469","0","12"],["2573.89","0.886","0","1"],["2573.91","0.1528","0","2"],["2573.95","0.104107","0","1"],["2573.98","0.1
[2025-07-04 00:37:36] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.87","20.703521","0","7"],["2573.91","0.1528","0","2"],["2573.95","0.104107","0","1"],["2574","0.0001","0","1"],["2574.01","0.2",
[2025-07-04 00:37:37] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.87","21.589521","0","8"],["2573.91","0.1528","0","2"],["2573.95","0.104107","0","1"],["2574","0.0001","0","1"],["2574.01","0.2",
[2025-07-04 00:37:37] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2573.72","22.35776","0","10"],["2573.73","8.81584","0","2"],["2573.83","0.5","0","1"],["2573.85","6.38182","0","2"],["2573.91","0.152
